HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
   EC,No Change,"Esa, anemia, non-chemo/radio",Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,
   ED,No Change,Hct>39% or hgb>13g>=3 cycle,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,
   EE,No Change,Hct>39% or hgb>13g<3 cycle,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,
   EJ,No Change,Subsequent claim,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",
   EM,No Change,Emer reserve supply (esrd),Emergency reserve supply (for esrd benefit only),
   EP,No Change,Medicaid epsdt program svc,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,
   ER,No Change,Off-campus ed service,"Items and services furnished by a provider-based, off-campus emergency department",
   ET,No Change,Emergency services,Emergency services,
   EX,No Change,Expatriate beneficiary,Expatriate beneficiary,
   EY,No Change,No md order for item/service,No physician or other licensed health care provider order for this item or service,
   F1,No Change,"Left hand, second digit","Left hand, second digit",
   F2,No Change,"Left hand, third digit","Left hand, third digit",
   F3,No Change,"Left hand, fourth digit","Left hand, fourth digit",
   F4,No Change,"Left hand, fifth digit","Left hand, fifth digit",
   F5,No Change,"Right hand, thumb","Right hand, thumb",
   F6,No Change,"Right hand, second digit","Right hand, second digit",
   F7,No Change,"Right hand, third digit","Right hand, third digit",
   F8,No Change,"Right hand, fourth digit","Right hand, fourth digit",
   F9,No Change,"Right hand, fifth digit","Right hand, fifth digit",
   FA,No Change,"Left hand, thumb","Left hand, thumb",
   FB,No Change,Item provided without cost,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",
   FC,No Change,"Part credit, replaced device",Partial credit received for replaced device,
   FP,No Change,Svc part of family plan pgm,Service provided as part of family planning program,
   FX,No Change,X-ray taken using film,X-ray taken using film,
   FY,No Change,Computed radiography x-ray,X-ray taken using computed radiography technology/cassette-based imaging,
   G0,No Change,Telestroke,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",
   G1,No Change,Urr reading of less than 60,Most recent urr reading of less than 60,
   G2,No Change,Urr reading of 60 to 64.9,Most recent urr reading of 60 to 64.9,
   G3,No Change,Urr  reading of 65 to 69.9,Most recent urr reading of 65 to 69.9,
   G4,No Change,Urr reading of 70 to 74.9,Most recent urr reading of 70 to 74.9,
   G5,No Change,Urr reading of 75 or greater,Most recent urr reading of 75 or greater,
   G6,No Change,Esrd patient <6 dialysis/mth,Esrd patient for whom less than six dialysis sessions have been provided in a month,
   G7,No Change,Payment limits do not apply,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,
   G8,No Change,Monitored anesthesia care,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",
   G9,No Change,Mac for at risk patient,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,
   GA,No Change,Liability waiver ind case,"Waiver of liability statement issued as required by payer policy, individual case",
   GB,No Change,Claim resubmitted,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,
   GC,No Change,Resident/teaching phys serv,This service has been performed in part by a resident under the direction of a teaching physician,
   GD,Discontinued,Unit of service > mue value,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,
   GE,No Change,Resident prim care exception,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,
   GF,No Change,Nonphysician serv c a hosp,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",
   GG,No Change,Payment screen mam + diagmam,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",
   GH,No Change,Diag mammo to screening mamo,Diagnostic mammogram converted from screening mammogram on same day,
   GJ,No Change,Opt out provider of er srvc,"""opt out"" physician or practitioner emergency or urgent service",
   GK,No Change,Actual item/service ordered,Reasonable and necessary item/service associated with a ga or gz modifier,
   GL,No Change,"Upgraded item, no charge","Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)",
   GM,No Change,Multiple transports,Multiple patients on one ambulance trip,
   GN,No Change,Op speech language service,Services delivered under an outpatient speech language pathology plan of care,
   GO,No Change,Op occupational therapy serv,Services delivered under an outpatient occupational therapy plan of care,
   GP,No Change,Op pt services,Services delivered under an outpatient physical therapy plan of care,
   GQ,No Change,Telehealth store and forward,Via asynchronous telecommunications system,
   GR,No Change,Service by va resident,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",
   GS,No Change,Epo/darbepoietin reduced 25%,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,
   GT,No Change,Interactivetelecommunication,Via interactive audio and video telecommunication systems,
   GU,No Change,Liability waiver rout notice,"Waiver of liability statement issued as required by payer policy, routine notice",
   GV,No Change,Attending phys not hospice,Attending physician not employed or paid under arrangement by the patient's hospice provider,
   GW,No Change,Service unrelated to term co,Service not related to the hospice patient's terminal condition,
   GX,No Change,Voluntary liability notice,"Notice of liability issued, voluntary under payer policy",
   GY,No Change,Statutorily excluded,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",
   GZ,No Change,Not reasonable and necessary,Item or service expected to be denied as not reasonable and necessary,
   H9,No Change,Court-ordered,Court-ordered,
   HA,No Change,Child/adolescent program,Child/adolescent program,
   HB,No Change,Adult program non-geriatric,"Adult program, non geriatric",
   HC,No Change,Adult program geriatric,"Adult program, geriatric",
   HD,No Change,Pregnant/parenting program,Pregnant/parenting women's program,
   HE,No Change,Mental health program,Mental health program,
   HF,No Change,Substance abuse program,Substance abuse program,
   HG,No Change,Opioid addiction tx program,Opioid addiction treatment program,
   HH,No Change,Mental hlth/substance abs pr,Integrated mental health/substance abuse program,
   HI,No Change,Men hlth intel/dev disab pgm,Integrated mental health and intellectual disability/developmental disabilities program,
   HJ,No Change,Employee assistance program,Employee assistance program,
   HK,No Change,Spec hgh rsk mntl hlth pop p,Specialized mental health programs for high-risk populations,
   HL,No Change,Intern,Intern,
   HM,No Change,Less than bachelor degree lv,Less than bachelor degree level,
   HN,No Change,Bachelors degree level,Bachelors degree level,
   HO,No Change,Masters degree level,Masters degree level,
   HP,No Change,Doctoral level,Doctoral level,
   HQ,No Change,Group setting,Group setting,
   HR,No Change,Family/couple w client prsnt,Family/couple with client present,
   HS,No Change,Family/couple w/o client prs,Family/couple without client present,
   HT,No Change,Multi-disciplinary team,Multi-disciplinary team,
   HU,No Change,Child welfare agency funded,Funded by child welfare agency,
   HV,No Change,Funded state addiction agncy,Funded state addictions agency,
   HW,No Change,State mntl hlth agncy funded,Funded by state mental health agency,
   HX,No Change,County/local agency funded,Funded by county/local agency,
   HY,No Change,Funded by juvenile justice,Funded by juvenile justice agency,
   HZ,No Change,Criminal justice agncy fund,Funded by criminal justice agency,
   J1,No Change,Cap no-pay for prescript num,Competitive acquisition program no-pay submission for a prescription number,
   J2,No Change,Cap restock of emerg drugs,"Competitive acquisition program, restocking of emergency drugs after emergency administration",
   J3,No Change,Cap drug unavail thru cap,"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology",
   J4,No Change,Dmepos comp bid furn by hosp,Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge,
   JA,No Change,Administered intravenously,Administered intravenously,
   JB,No Change,Administered subcutaneously,Administered subcutaneously,
   JC,No Change,Skin substitute graft,Skin substitute used as a graft,
   JD,No Change,Skin sub not used as a graft,Skin substitute not used as a graft,
   JE,No Change,Administered via dialysate,Administered via dialysate,
   JF,No Change,Compounded drug,Compounded drug,
   JG,No Change,340b acquired drug,Drug or biological acquired with 340b drug pricing program discount,
   JW,No Change,Discarded drug not administe,Drug amount discarded/not administered to any patient,
   K0,No Change,Lwr ext prost functnl lvl 0,Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.,
   K1,No Change,Lwr ext prost functnl lvl 1,Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.,
   K2,No Change,Lwr ext prost functnl lvl 2,"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator.",
   K3,No Change,Lwr ext prost functnl lvl 3,"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.",
   K4,No Change,Lwr ext prost functnl lvl 4,"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.",
   KA,No Change,Wheelchair add-on option/acc,Add on option/accessory for wheelchair,
   KB,No Change,>4 modifiers on claim,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",
   KC,No Change,Repl special pwr wc intrface,Replacement of special power wheelchair interface,
   KD,No Change,Drug/biological dme infused,Drug or biological infused through dme,
   KE,No Change,Bid under round 1 dmepos cb,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,
   KF,No Change,Fda class iii device,Item designated by fda as class iii device,
   KG,No Change,Dmepos comp bid prgm no 1,Dmepos item subject to dmepos competitive bidding program number 1,
   KH,No Change,"Dmepos ini clm, pur/1 mo rnt","Dmepos item, initial claim, purchase or first month rental",
   KI,No Change,Dmepos 2nd or 3rd mo rental,"Dmepos item, second or third month rental",
   KJ,No Change,Dmepos pen pmp or 4-15mo rnt,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen",
   KK,No Change,Dmepos comp bid prgm no 2,Dmepos item subject to dmepos competitive bidding program number 2,
   KL,No Change,Dmepos mailorder comp bid,Dmepos item delivered via mail,
   KM,No Change,Rplc facial prosth new imp,Replacement of facial prosthesis including new impression/moulage,
   KN,No Change,Rplc facial prosth old mod,Replacement of facial prosthesis using previous master model,
   KO,No Change,Single drug unit dose form,Single drug unit dose formulation,
   KP,No Change,First drug of multi drug u d,First drug of a multiple drug unit dose formulation,
   KQ,No Change,2nd/subsqnt drg multi drg ud,Second or subsequent drug of a multiple drug unit dose formulation,
   KR,No Change,Rental item partial month,"Rental item, billing for partial month",
   KS,No Change,Glucose monitor supply,Glucose monitor supply for diabetic beneficiary not treated with insulin,
   KT,No Change,Item from noncontract supply,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,
   KU,No Change,Dmepos comp bid prgm no 3,Dmepos item subject to dmepos competitive bidding program number 3,
   KV,No Change,"Dmepos item, profession serv",Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service,
   KW,No Change,Dmepos comp bid prgm no 4,Dmepos item subject to dmepos competitive bidding program number 4,
   KX,No Change,Documentation on file,Requirements specified in the medical policy have been met,
   KY,No Change,Dmepos comp bid prgm no 5,Dmepos item subject to dmepos competitive bidding program number 5,
   KZ,No Change,New cov not implement by m+c,New coverage not implemented by managed care,
   L1,No Change,Separately payable lab test,Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps,
   LC,No Change,Lft circum coronary artery,Left circumflex coronary artery,
   LD,No Change,Left ant des coronary artery,Left anterior descending coronary artery,
   LL,No Change,Lease/rental (appld to pur),Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price),
   LM,No Change,Left main coronary artery,Left main coronary artery,
   LR,No Change,Laboratory round trip,Laboratory round trip,
   LS,No Change,Fda-monitored iol implant,Fda-monitored intraocular lens implant,
   LT,No Change,Left side,Left side (used to identify procedures performed on the left side of the body),
   M2,No Change,Medicare secondary payer,Medicare secondary payer (msp),
   MA,ADD,Emer med cond susp/confirm,Ordering professional is not required to consult a clinical decision support mechanism due to service being rendered to a patient with a suspected or confirmed emergency medical condition,
   MB,ADD,"Auc hardship, insuf internet",Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of insufficient internet access,
   MC,ADD,"Auc hardship, vendor issues",Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of electronic health record or clinical decision support mechanism vendor issues,
   MD,ADD,"Auc hardship, extreme circ",Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of extreme and uncontrollable circumstances,
   ME,ADD,Order adheres to auc,The order for this service adheres to appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,
   MF,ADD,Order does not adhere to auc,The order for this service does not adhere to the appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,
   MG,ADD,Auc not applicable to order,The order for this service does not have applicable appropriate use criteria in the qualified clinical decision support mechanism consulted by the ordering professional,
   MH,ADD,Auc consult not provided,"Unknown if ordering professional consulted a clinical decision support mechanism for this service, related information was not provided to the furnishing professional or provider",
   MS,No Change,6-mo maint/svc fee parts/lbr,Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty,
   NB,No Change,Drug specific nebulizer,"Nebulizer system, any type, fda-cleared for use with specific drug",
   NR,No Change,New when rented,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),
   NU,No Change,New equipment,New equipment,
   P1,No Change,Normal healthy patient,A normal healthy patient,
   P2,No Change,Patient w/mild syst disease,A patient with mild systemic disease,
   P3,No Change,Patient w/severe sys disease,A patient with severe systemic disease,
   P4,No Change,Pt w/sev sys dis threat life,A patient with severe systemic disease that is a constant threat to life,
   P5,No Change,Pt not expect surv w/o oper,A moribund patient who is not expected to survive without the operation,
   P6,No Change,Brain-dead pt organs removed,A declared brain-dead patient whose organs are being removed for donor purposes,
   PA,No Change,"Surgery, wrong body part",Surgical or other invasive procedure on wrong body part,
   PB,No Change,"Surgery, wrong patient",Surgical or other invasive procedure on wrong patient,
   PC,No Change,Wrong surgery on patient,Wrong surgery or other invasive procedure on patient,
   PD,No Change,Inp admit w/in 3 days,Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days,
   PI,No Change,Pet tumor init tx strat,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,
   PL,No Change,Progressive addition lenses,Progressive addition lenses,
   PM,No Change,Post mortem,Post mortem,
   PN,No Change,Non-excepted off-campus svc,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",
   PO,No Change,Excepted off-campus service,"Excepted service provided at an off-campus, outpatient, provider-based department of a hospital",
   PS,No Change,Pet tumor subsq tx strategy,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy,
   PT,No Change,Clrctal screen to diagn,Colorectal cancer screening test; converted to diagnostic test or other procedure,
   Q0,No Change,Invest clinical research,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,
   Q1,No Change,Routine clinical research,Routine clinical service provided in a clinical research study that is in an approved clinical research study,
   Q2,No Change,"Demo procedure, service",Demonstration procedure/service,
   Q3,No Change,Live donor surgery/services,Live kidney donor surgery and related services,
   Q4,No Change,Svc exempt - ordrg/rfrng md,Service for ordering/referring physician qualifies as a service exemption,
   Q5,No Change,Recip bill arr subs md or pt,"Service furnished under a reciprocal billing arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",
   Q6,No Change,Fee/time comp subst md or pt,"Service furnished under a fee-for-time compensation arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",
   Q7,No Change,One class a finding,One class a finding,
   Q8,No Change,Two class b findings,Two class b findings,
   Q9,No Change,1 class b & 2 class c fndngs,One class b and two class c findings,
   QA,No Change,Avg sta day/night o2 < 1 lpm,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is less than 1 liter per minute (lpm),
   QB,No Change,Avg day/nite o2 > 4 lpm/port,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,
   QC,No Change,Single channel monitoring,Single channel monitoring,
   QD,No Change,Rcrdg/strg in sld st memory,Recording and storage in solid state memory by a digital recorder,
   QE,No Change,Stationary o2 @ rest <1 lpm,Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (lpm),
   QF,No Change,Station o2 @ rest >4lpm/port,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,
   QG,No Change,Station o2 @ rest > 4 lpm,Prescribed amount of stationary oxygen while at rest is greater than 4 liters per minute (lpm),
   QH,No Change,Oxygen cnsrvg dvc w del sys,Oxygen conserving device is being used with an oxygen delivery system,
   QJ,No Change,Patient in state/locl custod,"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)",
   QK,No Change,Med dir 2-4 cncrnt anes proc,"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals",
   QL,No Change,Patient died after amb call,Patient pronounced dead after ambulance called,
   QM,No Change,Ambulance arr by provider,Ambulance service provided under arrangement by a provider of services,
   QN,No Change,Ambulance furn by provider,Ambulance service furnished directly by a provider of services,
   QP,No Change,Individually ordered lab tst,"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060.",
   QQ,No Change,Qualified cdsm consulted,Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional,
   QR,No Change,Avg sta day/night o2 > 4 lpm,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (lpm),
   QS,No Change,Monitored anesthesia care,Monitored anesthesia care service,
   QT,No Change,Rcrdg/strg tape analog recdr,Recording and storage on tape by an analog tape recorder,
   QW,No Change,Clia waived test,Clia waived test,
   QX,No Change,Crna svc w/ md med direction,Crna service: with medical direction by a physician,
   QY,No Change,Medically directed crna,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist,
   QZ,No Change,Crna svc w/o med dir by md,Crna service: without medical direction by a physician,
   RA,No Change,Replacement of dme item,"Replacement of a dme, orthotic or prosthetic item",
   RB,No Change,"Replacement part, dme item","Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair",
   RC,No Change,Right coronary artery,Right coronary artery,
   RD,No Change,Drug admin not incident-to,"Drug provided to beneficiary, but not administered ""incident-to""",
   RE,No Change,Furnish full compliance rems,Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems),
   RI,No Change,Ramus intermedius cor artery,Ramus intermedius coronary artery,
   RR,No Change,Rental (dme),Rental (use the 'rr' modifier when dme is to be rented),
   RT,No Change,Right side,Right side (used to identify procedures performed on the right side of the body),
   SA,No Change,Nurse practitioner w physici,Nurse practitioner rendering service in collaboration with a physician,
   SB,No Change,Nurse midwife,Nurse midwife,
   SC,No Change,Medically necessary serv/sup,Medically necessary service or supply,
   SD,No Change,Serv by home infusion rn,"Services provided by registered nurse with specialized, highly technical home infusion training",
   SE,No Change,State/fed funded program/ser,State and/or federally-funded programs/services,
   SF,No Change,2nd opinion ordered by pro,"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",
   SG,No Change,Asc facility service,Ambulatory surgical center (asc) facility service,
   SH,No Change,2nd concurrent infusion ther,Second concurrently administered infusion therapy,
   SJ,No Change,3rd concurrent infusion ther,Third or more concurrently administered infusion therapy,
   SK,No Change,High risk population,Member of high risk population (use only with codes for immunization),
   SL,No Change,State supplied vaccine,State supplied vaccine,
   SM,No Change,Second opinion,Second surgical opinion,
   SN,No Change,Third opinion,Third surgical opinion,
   SQ,No Change,Item ordered by home health,Item ordered by home health,
   SS,No Change,Hit in infusion suite,Home infusion services provided in the infusion suite of the iv therapy provider,
   ST,No Change,Related to trauma or injury,Related to trauma or injury,
   SU,No Change,Performed in phys office,Procedure performed in physician's office (to denote use of facility and equipment),
   SV,No Change,Drugs delivered not used,Pharmaceuticals delivered to patient's home but not utilized,
   SW,No Change,Serv by cert diab educator,Services provided by a certified diabetic educator,
   SY,No Change,Contact w/high-risk pop,Persons who are in close contact with member of high-risk population (use only with codes for immunization),
   SZ,No Change,Habilitative services,Habilitative services,
   T1,No Change,"Left foot, second digit","Left foot, second digit",
   T2,No Change,"Left foot, third digit","Left foot, third digit",
   T3,No Change,"Left foot, fourth digit","Left foot, fourth digit",
   T4,No Change,"Left foot, fifth digit","Left foot, fifth digit",
   T5,No Change,"Right foot, great toe","Right foot, great toe",
   T6,No Change,"Right foot, second digit","Right foot, second digit",
   T7,No Change,"Right foot, third digit","Right foot, third digit",
   T8,No Change,"Right foot, fourth digit","Right foot, fourth digit",
   T9,No Change,"Right foot, fifth digit","Right foot, fifth digit",
   TA,No Change,"Left foot, great toe","Left foot, great toe",
   TB,No Change,Tracking 340b acquired drug,"Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes",
   TC,No Change,Technical component,"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles",
   TD,No Change,Rn,Rn,
   TE,No Change,Lpn/lvn,Lpn/lvn,
   TF,No Change,Intermediate level of care,Intermediate level of care,
   TG,No Change,Complex/high tech level care,Complex/high tech level of care,
